================================================================================
POKEMON GOLD/SILVER (GENERATION II) REFERENCE DATA
================================================================================
Sources: Bulbapedia (bulbapedia.bulbagarden.net)
Note: All data reflects Generation II (Gold/Silver/Crystal) values.
In Gen 2, move category is determined by TYPE:
  Physical types: Normal, Fighting, Poison, Ground, Flying, Bug, Rock, Ghost, Steel
  Special types:  Fire, Water, Grass, Electric, Ice, Psychic, Dragon, Dark

================================================================================
PART 1: MOVE DATA
================================================================================

Format: # | Name | Type | Category | Power | Accuracy | PP | Priority | Effect
031 | Fury Attack    | Normal   | Physical |  15 |  85% | 20 |  0 | Hits 2-5 times.
032 | Horn Drill     | Normal   | Physical |  -- |  30% |  5 |  0 | OHKO move. Fails if user is slower.
033 | Tackle         | Normal   | Physical |  35 |  95% | 35 |  0 | No additional effect.
034 | Body Slam      | Normal   | Physical |  85 | 100% | 15 |  0 | 30% chance to paralyze.
035 | Wrap           | Normal   | Physical |  15 |  85% | 20 |  0 | Traps target for 2-5 turns.
036 | Take Down      | Normal   | Physical |  90 |  85% | 20 |  0 | User takes 1/4 recoil damage.
037 | Thrash         | Normal   | Physical |  90 | 100% | 20 |  0 | Attacks for 2-3 turns, then user is confused.
038 | Double-Edge    | Normal   | Physical | 120 | 100% | 15 |  0 | User takes 1/4 recoil damage.
039 | Tail Whip      | Normal   | Status   |   0 | 100% | 30 |  0 | Lowers target's Defense by 1 stage.
040 | Poison Sting   | Poison   | Physical |  15 | 100% | 35 |  0 | 30% chance to poison.
041 | Twineedle      | Bug      | Physical |  25 | 100% | 20 |  0 | Hits 2 times. 20% chance to poison per hit.
042 | Pin Missile    | Bug      | Physical |  14 |  85% | 20 |  0 | Hits 2-5 times.
043 | Leer           | Normal   | Status   |   0 | 100% | 30 |  0 | Lowers target's Defense by 1 stage.
044 | Bite           | Dark     | Physical |  60 | 100% | 25 |  0 | 30% chance to flinch.
045 | Growl          | Normal   | Status   |   0 | 100% | 40 |  0 | Lowers target's Attack by 1 stage.
046 | Roar           | Normal   | Status   |   0 | 100% | 20 | -6 | Forces wild Pokemon to flee; switches trainer Pokemon.
047 | Sing           | Normal   | Status   |   0 |  55% | 15 |  0 | Puts target to sleep.
048 | Supersonic     | Normal   | Status   |   0 |  55% | 20 |  0 | Confuses target.
049 | Sonic Boom     | Normal   | Physical |  -- |  90% | 20 |  0 | Always deals exactly 20 HP damage.
050 | Disable        | Normal   | Status   |   0 |  55% | 20 |  0 | Disables target's last used move for 1-8 turns.
051 | Acid           | Poison   | Physical |  40 | 100% | 30 |  0 | 10% chance to lower target's Defense by 1.
052 | Ember          | Fire     | Special  |  40 | 100% | 25 |  0 | 10% chance to burn.
053 | Flamethrower   | Fire     | Special  |  95 | 100% | 15 |  0 | 10% chance to burn.
054 | Mist           | Ice      | Status   |   0 |  --  | 30 |  0 | Prevents stat reduction for 5 turns.
055 | Water Gun      | Water    | Special  |  40 | 100% | 25 |  0 | No additional effect.
056 | Hydro Pump     | Water    | Special  | 120 |  80% |  5 |  0 | No additional effect.
057 | Surf           | Water    | Special  |  95 | 100% | 15 |  0 | No additional effect. HM03.
058 | Ice Beam       | Ice      | Special  |  95 | 100% | 10 |  0 | 10% chance to freeze.
059 | Blizzard       | Ice      | Special  | 120 |  70% |  5 |  0 | 10% chance to freeze.
060 | Psybeam        | Psychic  | Special  |  65 | 100% | 20 |  0 | 10% chance to confuse.
061 | Bubble Beam    | Water    | Special  |  65 | 100% | 20 |  0 | 10% chance to lower target's Speed by 1.
062 | Aurora Beam    | Ice      | Special  |  65 | 100% | 20 |  0 | 10% chance to lower target's Attack by 1.
063 | Hyper Beam     | Normal   | Physical | 150 |  90% |  5 |  0 | Must recharge next turn.
064 | Peck           | Flying   | Physical |  35 | 100% | 35 |  0 | No additional effect.
065 | Drill Peck     | Flying   | Physical |  80 | 100% | 20 |  0 | No additional effect.
066 | Submission     | Fighting | Physical |  80 |  80% | 25 |  0 | User takes 1/4 recoil damage.
067 | Low Kick       | Fighting | Physical |  50 |  90% | 20 |  0 | 30% chance to flinch.
068 | Counter        | Fighting | Physical |  -- | 100% | 20 | -1 | Returns 2x physical damage taken this turn.
069 | Seismic Toss   | Fighting | Physical |  -- | 100% | 20 |  0 | Deals damage equal to user's level.
070 | Strength       | Normal   | Physical |  80 | 100% | 15 |  0 | No additional effect. HM04.
071 | Absorb         | Grass    | Special  |  20 | 100% | 20 |  0 | Heals user for 1/2 damage dealt.
072 | Mega Drain     | Grass    | Special  |  40 | 100% | 10 |  0 | Heals user for 1/2 damage dealt.
073 | Leech Seed     | Grass    | Status   |   0 |  90% | 10 |  0 | Drains 1/8 target's max HP each turn.
074 | Growth         | Normal   | Status   |   0 |  --  | 40 |  0 | Raises user's Sp.Atk by 1 stage.
075 | Razor Leaf     | Grass    | Special  |  55 |  95% | 25 |  0 | High critical-hit ratio.
076 | Solar Beam     | Grass    | Special  | 120 | 100% | 10 |  0 | Charges turn 1, fires turn 2.
077 | Poison Powder  | Poison   | Status   |   0 |  75% | 35 |  0 | Poisons target.
078 | Stun Spore     | Grass    | Status   |   0 |  75% | 30 |  0 | Paralyzes target.
079 | Sleep Powder   | Grass    | Status   |   0 |  75% | 15 |  0 | Puts target to sleep.
080 | Petal Dance    | Grass    | Special  |  70 | 100% | 20 |  0 | Attacks 2-3 turns, then user is confused.
081 | String Shot    | Bug      | Status   |   0 |  95% | 40 |  0 | Lowers target's Speed by 1 stage.
082 | Dragon Rage    | Dragon   | Special  |  -- | 100% | 10 |  0 | Always deals exactly 40 HP damage.
083 | Fire Spin      | Fire     | Special  |  15 |  70% | 15 |  0 | Traps target for 2-5 turns.
084 | Thunder Shock  | Electric | Special  |  40 | 100% | 30 |  0 | 10% chance to paralyze.
085 | Thunderbolt    | Electric | Special  |  95 | 100% | 15 |  0 | 10% chance to paralyze.
086 | Thunder Wave   | Electric | Status   |   0 | 100% | 20 |  0 | Paralyzes target.
087 | Thunder        | Electric | Special  | 120 |  70% | 10 |  0 | 30% chance to paralyze. Never misses in rain.
088 | Rock Throw     | Rock     | Physical |  50 |  90% | 15 |  0 | No additional effect.
089 | Earthquake     | Ground   | Physical | 100 | 100% | 10 |  0 | No additional effect.
090 | Fissure        | Ground   | Physical |  -- |  30% |  5 |  0 | OHKO move. Fails if user is slower.
091 | Dig            | Ground   | Physical |  60 | 100% | 10 |  0 | Digs underground turn 1, attacks turn 2.
092 | Toxic          | Poison   | Status   |   0 |  85% | 10 |  0 | Badly poisons target (damage increases each turn).
093 | Confusion      | Psychic  | Special  |  50 | 100% | 25 |  0 | 10% chance to confuse.
094 | Psychic        | Psychic  | Special  |  90 | 100% | 10 |  0 | 10% chance to lower target's Sp.Def by 1.
095 | Hypnosis       | Psychic  | Status   |   0 |  60% | 20 |  0 | Puts target to sleep.
096 | Meditate       | Psychic  | Status   |   0 |  --  | 40 |  0 | Raises user's Attack by 1 stage.
097 | Agility        | Psychic  | Status   |   0 |  --  | 30 |  0 | Raises user's Speed by 2 stages.
098 | Quick Attack   | Normal   | Physical |  40 | 100% | 30 | +1 | Priority move. Always goes first.
099 | Rage           | Normal   | Physical |  20 | 100% | 20 |  0 | Attack rises by 1 when hit while using Rage.
100 | Teleport       | Psychic  | Status   |   0 |  --  | 20 | -6 | Flees from wild battles.
101 | Night Shade    | Ghost    | Physical |  -- | 100% | 15 |  0 | Deals damage equal to user's level.
102 | Mimic          | Normal   | Status   |   0 | 100% | 10 |  0 | Copies one of target's moves.
103 | Screech        | Normal   | Status   |   0 |  85% | 40 |  0 | Lowers target's Defense by 2 stages.
104 | Double Team    | Normal   | Status   |   0 |  --  | 15 |  0 | Raises user's evasion by 1 stage.
105 | Recover        | Normal   | Status   |   0 |  --  | 20 |  0 | Heals user by 1/2 max HP.
106 | Harden         | Normal   | Status   |   0 |  --  | 30 |  0 | Raises user's Defense by 1 stage.
107 | Minimize       | Normal   | Status   |   0 |  --  | 20 |  0 | Raises user's evasion by 1 stage.
108 | Smokescreen    | Normal   | Status   |   0 | 100% | 20 |  0 | Lowers target's accuracy by 1 stage.
109 | Confuse Ray    | Ghost    | Status   |   0 | 100% | 10 |  0 | Confuses target.
110 | Withdraw       | Water    | Status   |   0 |  --  | 40 |  0 | Raises user's Defense by 1 stage.
111 | Defense Curl   | Normal   | Status   |   0 |  --  | 40 |  0 | Raises user's Defense by 1 stage.
112 | Barrier        | Psychic  | Status   |   0 |  --  | 30 |  0 | Raises user's Defense by 2 stages.
113 | Light Screen   | Psychic  | Status   |   0 |  --  | 30 |  0 | Halves special damage for 5 turns.
114 | Haze           | Ice      | Status   |   0 |  --  | 30 |  0 | Resets all stat changes for all Pokemon.
115 | Reflect        | Psychic  | Status   |   0 |  --  | 20 |  0 | Halves physical damage for 5 turns.
116 | Focus Energy   | Normal   | Status   |   0 |  --  | 30 |  0 | Increases critical-hit ratio.
117 | Bide           | Normal   | Physical |  -- | 100% | 10 | +1 | Endures 2 turns, then returns 2x damage taken.
118 | Metronome      | Normal   | Status   |   0 |  --  | 10 |  0 | Uses a random move.
119 | Mirror Move    | Flying   | Status   |   0 |  --  | 20 |  0 | Uses target's last move.
120 | Self-Destruct  | Normal   | Physical | 200 | 100% |  5 |  0 | User faints. Target's Def halved for calc.
121 | Egg Bomb       | Normal   | Physical | 100 |  75% | 10 |  0 | No additional effect.
122 | Lick           | Ghost    | Physical |  20 | 100% | 30 |  0 | 30% chance to paralyze.
123 | Smog           | Poison   | Physical |  20 |  70% | 20 |  0 | 40% chance to poison.
124 | Sludge         | Poison   | Physical |  65 | 100% | 20 |  0 | 30% chance to poison.
125 | Bone Club      | Ground   | Physical |  65 |  85% | 20 |  0 | 10% chance to flinch.
126 | Fire Blast     | Fire     | Special  | 120 |  85% |  5 |  0 | 10% chance to burn.
127 | Waterfall      | Water    | Special  |  80 | 100% | 15 |  0 | No additional effect. HM07.
128 | Clamp          | Water    | Special  |  35 |  75% | 10 |  0 | Traps target for 2-5 turns.
129 | Swift          | Normal   | Physical |  60 |  --  | 20 |  0 | Never misses.
130 | Skull Bash     | Normal   | Physical | 100 | 100% | 15 |  0 | Charges turn 1 (raises Def), attacks turn 2.
131 | Spike Cannon   | Normal   | Physical |  20 | 100% | 15 |  0 | Hits 2-5 times.
132 | Constrict      | Normal   | Physical |  10 | 100% | 35 |  0 | 10% chance to lower target's Speed by 1.
133 | Amnesia        | Psychic  | Status   |   0 |  --  | 20 |  0 | Raises user's Sp.Def by 2 stages.
134 | Kinesis        | Psychic  | Status   |   0 |  80% | 15 |  0 | Lowers target's accuracy by 1 stage.
135 | Soft-Boiled    | Normal   | Status   |   0 |  --  | 10 |  0 | Heals user by 1/2 max HP.
136 | High Jump Kick | Fighting | Physical |  85 |  90% | 20 |  0 | User takes 1/8 max HP crash damage on miss.
137 | Glare          | Normal   | Status   |   0 |  75% | 30 |  0 | Paralyzes target.
138 | Dream Eater    | Psychic  | Special  | 100 | 100% | 15 |  0 | Only works on sleeping target. Heals 1/2 damage dealt.
139 | Poison Gas     | Poison   | Status   |   0 |  55% | 40 |  0 | Poisons target.
140 | Barrage        | Normal   | Physical |  15 |  85% | 20 |  0 | Hits 2-5 times.
141 | Leech Life     | Bug      | Physical |  20 | 100% | 15 |  0 | Heals user for 1/2 damage dealt.
142 | Lovely Kiss    | Normal   | Status   |   0 |  75% | 10 |  0 | Puts target to sleep.
143 | Sky Attack     | Flying   | Physical | 140 |  90% |  5 |  0 | Charges turn 1, attacks turn 2. High crit ratio.
144 | Transform      | Normal   | Status   |   0 |  --  | 10 |  0 | User transforms into target.
145 | Bubble         | Water    | Special  |  20 | 100% | 30 |  0 | 10% chance to lower target's Speed by 1.
146 | Dizzy Punch    | Normal   | Physical |  70 | 100% | 10 |  0 | 20% chance to confuse.
147 | Spore          | Grass    | Status   |   0 | 100% | 15 |  0 | Puts target to sleep.
148 | Flash          | Normal   | Status   |   0 |  70% | 20 |  0 | Lowers target's accuracy by 1 stage. HM05.
149 | Psywave        | Psychic  | Special  |  -- |  80% | 15 |  0 | Deals random damage: 0.5x to 1.5x user's level.
150 | Splash         | Normal   | Status   |   0 |  --  | 40 |  0 | No effect.
151 | Acid Armor     | Poison   | Status   |   0 |  --  | 40 |  0 | Raises user's Defense by 2 stages.
152 | Crabhammer     | Water    | Special  |  90 |  85% | 10 |  0 | High critical-hit ratio.
153 | Explosion      | Normal   | Physical | 250 | 100% |  5 |  0 | User faints. Target's Def halved for calc.
154 | Fury Swipes    | Normal   | Physical |  18 |  80% | 15 |  0 | Hits 2-5 times.
155 | Bonemerang     | Ground   | Physical |  50 |  90% | 10 |  0 | Hits 2 times.
156 | Rest           | Psychic  | Status   |   0 |  --  | 10 |  0 | Heals fully, user sleeps for 2 turns.
157 | Rock Slide     | Rock     | Physical |  75 |  90% | 10 |  0 | 30% chance to flinch.
158 | Hyper Fang     | Normal   | Physical |  80 |  90% | 15 |  0 | 10% chance to flinch.
159 | Sharpen        | Normal   | Status   |   0 |  --  | 30 |  0 | Raises user's Attack by 1 stage.
160 | Conversion     | Normal   | Status   |   0 |  --  | 30 |  0 | Changes user's type to match first move.
161 | Tri Attack     | Normal   | Physical |  80 | 100% | 10 |  0 | 20% total: burn, freeze, or paralyze (6.67% each).
162 | Super Fang     | Normal   | Physical |  -- |  90% | 10 |  0 | Deals damage equal to 1/2 target's current HP.
163 | Slash          | Normal   | Physical |  70 | 100% | 20 |  0 | High critical-hit ratio.
164 | Substitute     | Normal   | Status   |   0 |  --  | 10 |  0 | Creates a decoy using 1/4 max HP.
165 | Struggle       | Normal   | Physical |  50 |  --  | -- |  0 | Used when all PP is depleted. User takes 1/4 recoil.

--- GEN 2 MOVES (166-251) ---

166 | Sketch         | Normal   | Status   |   0 |  --  |  1 |  0 | Permanently copies target's last move. Smeargle only.
167 | Triple Kick    | Fighting | Physical |  10 |  90% | 10 |  0 | Hits 3 times, power increases each hit (10/20/30).
168 | Thief          | Dark     | Physical |  40 | 100% | 10 |  0 | Steals target's held item.
169 | Spider Web     | Bug      | Status   |   0 |  --  | 10 |  0 | Prevents target from fleeing/switching.
170 | Mind Reader    | Normal   | Status   |   0 | 100% |  5 |  0 | Next move will not miss.
171 | Nightmare      | Ghost    | Status   |   0 | 100% | 15 |  0 | Sleeping target loses 1/4 max HP per turn.
172 | Flame Wheel    | Fire     | Special  |  60 | 100% | 25 |  0 | 10% chance to burn. Thaws user if frozen.
173 | Snore          | Normal   | Physical |  40 | 100% | 15 |  0 | Only works while asleep. 30% chance to flinch.
174 | Curse          | ???      | Status   |   0 |  --  | 10 |  0 | Ghost: lose 1/2 HP, target loses 1/4/turn. Other: +Atk, +Def, -Speed.
175 | Flail          | Normal   | Physical |  -- | 100% | 15 |  0 | Power increases as user's HP decreases (20-200).
176 | Conversion 2   | Normal   | Status   |   0 |  --  | 30 |  0 | Changes user's type to resist last move used on it.
177 | Aeroblast      | Flying   | Physical | 100 |  95% |  5 |  0 | High critical-hit ratio. Lugia signature.
178 | Cotton Spore   | Grass    | Status   |   0 |  85% | 40 |  0 | Lowers target's Speed by 2 stages.
179 | Reversal       | Fighting | Physical |  -- | 100% | 15 |  0 | Power increases as user's HP decreases (20-200).
180 | Spite          | Ghost    | Status   |   0 | 100% | 10 |  0 | Reduces PP of target's last move by 2-5.
181 | Powder Snow    | Ice      | Special  |  40 | 100% | 25 |  0 | 10% chance to freeze.
182 | Protect        | Normal   | Status   |   0 |  --  | 10 | +3 | Blocks all moves this turn. Fails if used consecutively.
183 | Mach Punch     | Fighting | Physical |  40 | 100% | 30 | +1 | Priority move. Always goes first.
184 | Scary Face     | Normal   | Status   |   0 |  90% | 10 |  0 | Lowers target's Speed by 2 stages.
185 | Feint Attack   | Dark     | Physical |  60 |  --  | 20 |  0 | Never misses.
186 | Sweet Kiss     | Normal   | Status   |   0 |  75% | 10 |  0 | Confuses target.
187 | Belly Drum     | Normal   | Status   |   0 |  --  | 10 |  0 | Loses 1/2 max HP, maximizes Attack (+6 stages).
188 | Sludge Bomb    | Poison   | Physical |  90 | 100% | 10 |  0 | 30% chance to poison.
189 | Mud-Slap       | Ground   | Physical |  20 | 100% | 10 |  0 | Lowers target's accuracy by 1 stage.
190 | Octazooka      | Water    | Special  |  65 |  85% | 10 |  0 | 50% chance to lower target's accuracy by 1.
191 | Spikes         | Ground   | Status   |   0 |  --  | 20 |  0 | Lays spikes that damage switching-in Pokemon.
192 | Zap Cannon     | Electric | Special  | 100 |  50% |  5 |  0 | Always paralyzes if it hits.
193 | Foresight      | Normal   | Status   |   0 | 100% | 40 |  0 | Allows Normal/Fighting to hit Ghost. Ignores evasion.
194 | Destiny Bond   | Ghost    | Status   |   0 |  --  |  5 |  0 | If user faints next turn, attacker faints too.
195 | Perish Song    | Normal   | Status   |   0 |  --  |  5 |  0 | All Pokemon in battle faint in 3 turns unless switched.
196 | Icy Wind       | Ice      | Special  |  55 |  95% | 15 |  0 | Lowers target's Speed by 1 stage.
197 | Detect         | Fighting | Status   |   0 |  --  |  5 | +3 | Like Protect. Blocks all moves this turn.
198 | Bone Rush      | Ground   | Physical |  25 |  80% | 10 |  0 | Hits 2-5 times.
199 | Lock-On        | Normal   | Status   |   0 | 100% |  5 |  0 | Next move will not miss.
200 | Outrage        | Dragon   | Special  |  90 | 100% | 15 |  0 | Attacks 2-3 turns, then user is confused.
201 | Sandstorm      | Rock     | Status   |   0 |  --  | 10 |  0 | Causes sandstorm for 5 turns. Damages non-Rock/Ground/Steel.
202 | Giga Drain     | Grass    | Special  |  60 | 100% |  5 |  0 | Heals user for 1/2 damage dealt.
203 | Endure         | Normal   | Status   |   0 |  --  | 10 | +3 | Survives with 1 HP this turn. Fails if used consecutively.
204 | Charm          | Normal   | Status   |   0 | 100% | 20 |  0 | Lowers target's Attack by 2 stages.
205 | Rollout        | Rock     | Physical |  30 |  90% | 20 |  0 | Hits 5 turns, power doubles each turn (30/60/120/240/480).
206 | False Swipe    | Normal   | Physical |  40 | 100% | 40 |  0 | Always leaves target with at least 1 HP.
207 | Swagger        | Normal   | Status   |   0 |  90% | 15 |  0 | Raises target's Attack by 2, confuses target.
208 | Milk Drink     | Normal   | Status   |   0 |  --  | 10 |  0 | Heals user by 1/2 max HP.
209 | Spark          | Electric | Special  |  65 | 100% | 20 |  0 | 30% chance to paralyze.
210 | Fury Cutter    | Bug      | Physical |  10 |  95% | 20 |  0 | Power doubles each consecutive hit (10/20/40/80/160).
211 | Steel Wing     | Steel    | Physical |  70 |  90% | 25 |  0 | 10% chance to raise user's Defense by 1.
212 | Mean Look      | Normal   | Status   |   0 |  --  |  5 |  0 | Prevents target from fleeing/switching.
213 | Attract        | Normal   | Status   |   0 | 100% | 15 |  0 | Infatuates opposite-gender target (50% chance to not attack).
214 | Sleep Talk     | Normal   | Status   |   0 |  --  | 10 |  0 | Uses a random known move while asleep.
215 | Heal Bell      | Normal   | Status   |   0 |  --  |  5 |  0 | Cures all party Pokemon of status conditions.
216 | Return         | Normal   | Physical |  -- | 100% | 20 |  0 | Power = (friendship / 2.5). Max 102 at 255 friendship.
217 | Present        | Normal   | Physical |  -- |  90% | 15 |  0 | Random: 40 (40%), 80 (30%), 120 (10%), heal 1/4 HP (20%).
218 | Frustration    | Normal   | Physical |  -- | 100% | 20 |  0 | Power = ((255 - friendship) / 2.5). Max 102 at 0 friendship.
219 | Safeguard      | Normal   | Status   |   0 |  --  | 25 |  0 | Prevents status conditions for 5 turns.
220 | Pain Split     | Normal   | Status   |   0 | 100% | 20 |  0 | Averages user and target's current HP.
221 | Sacred Fire    | Fire     | Special  | 100 |  95% |  5 |  0 | 50% chance to burn. Thaws user. Ho-Oh signature.
222 | Magnitude      | Ground   | Physical |  -- | 100% | 30 |  0 | Random power: 10/30/50/70/90/110/150 (weighted).
223 | Dynamic Punch  | Fighting | Physical | 100 |  50% |  5 |  0 | Always confuses if it hits.
224 | Megahorn       | Bug      | Physical | 120 |  85% | 10 |  0 | No additional effect.
225 | Dragon Breath  | Dragon   | Special  |  60 | 100% | 20 |  0 | 30% chance to paralyze.
226 | Baton Pass     | Normal   | Status   |   0 |  --  | 40 |  0 | Switches out, passing stat changes to replacement.
227 | Encore         | Normal   | Status   |   0 | 100% |  5 |  0 | Forces target to repeat last move for 2-6 turns.
228 | Pursuit        | Dark     | Physical |  40 | 100% | 20 |  0 | Power doubles (80) if target is switching out.
229 | Rapid Spin     | Normal   | Physical |  20 | 100% | 40 |  0 | Removes Spikes, Leech Seed, Bind, etc.
230 | Sweet Scent    | Normal   | Status   |   0 | 100% | 20 |  0 | Lowers target's evasion by 1 stage.
231 | Iron Tail      | Steel    | Physical | 100 |  75% | 15 |  0 | 30% chance to lower target's Defense by 1.
232 | Metal Claw     | Steel    | Physical |  50 |  95% | 35 |  0 | 10% chance to raise user's Attack by 1.
233 | Vital Throw    | Fighting | Physical |  70 |  --  | 10 | -1 | Always goes last, but never misses.
234 | Morning Sun    | Normal   | Status   |   0 |  --  |  5 |  0 | Heals HP. Amount varies with weather.
235 | Synthesis      | Grass    | Status   |   0 |  --  |  5 |  0 | Heals HP. Amount varies with weather.
236 | Moonlight      | Normal   | Status   |   0 |  --  |  5 |  0 | Heals HP. Amount varies with weather.
237 | Hidden Power   | Normal   | Physical |  -- | 100% | 15 |  0 | Type and power (31-70) determined by DVs/IVs.
238 | Cross Chop     | Fighting | Physical | 100 |  80% |  5 |  0 | High critical-hit ratio.
239 | Twister        | Dragon   | Special  |  40 | 100% | 20 |  0 | 20% chance to flinch.
240 | Rain Dance     | Water    | Status   |   0 |  --  |  5 |  0 | Summons rain for 5 turns.
241 | Sunny Day      | Fire     | Status   |   0 |  --  |  5 |  0 | Summons harsh sunlight for 5 turns.
242 | Crunch         | Dark     | Physical |  80 | 100% | 15 |  0 | 20% chance to lower target's Sp.Def by 1. (Gen 2)
243 | Mirror Coat    | Psychic  | Special  |  -- | 100% | 20 | -5 | Returns 2x special damage taken this turn.
244 | Psych Up       | Normal   | Status   |   0 |  --  | 10 |  0 | Copies target's stat changes.
245 | Extreme Speed  | Normal   | Physical |  80 | 100% |  5 | +1 | Priority move. Always goes first.
246 | Ancient Power  | Rock     | Physical |  60 | 100% |  5 |  0 | 10% chance to raise all stats by 1.
247 | Shadow Ball    | Ghost    | Physical |  80 | 100% | 15 |  0 | 20% chance to lower target's Sp.Def by 1.
248 | Future Sight   | Psychic  | Special  |  80 |  90% | 15 |  0 | Attacks 2 turns later. Ignores type immunity in Gen 2.
249 | Rock Smash     | Fighting | Physical |  20 | 100% | 15 |  0 | 50% chance to lower target's Defense by 1. HM06.
250 | Whirlpool      | Water    | Special  |  15 |  70% | 15 |  0 | Traps target for 2-5 turns. HM06 (Crystal).
251 | Beat Up        | Dark     | Physical |  -- | 100% | 10 |  0 | Each conscious party member attacks.

--- ADDITIONAL NOTES ON GEN 2 MOVE VALUES ---
These moves had DIFFERENT stats in Gen 2 compared to later games:
- Tackle: 35 power, 95% acc in Gen 2 (later: 40/100%, then 50/100%)
- Dig: 60 power in Gen 2 (was 100 in Gen 1, later changed back to 80)
- Gust: 40 power (unchanged through Gen 2)
- Wing Attack: 60 power (was 35 in Gen 1)
- Outrage: 90 power in Gen 2 (later: 120)
- Giga Drain: 60 power, 5 PP in Gen 2 (later: 75 power, 10 PP)
- Flamethrower/Thunderbolt/Ice Beam/Surf: 95 power in Gen 2 (later: 90)
- Hydro Pump/Blizzard/Thunder/Fire Blast: 120 power in Gen 2 (later: 110)
- Crabhammer: 90 power in Gen 2 (later: 100)
- Future Sight: 80 power, 90% acc in Gen 2 (later: 120/100%)
- Petal Dance: 70 power in Gen 2 (later: 120)
- Thrash: 90 power in Gen 2 (later: 120)
- Zap Cannon: 100 power in Gen 2 (later: 120)
- Rock Smash: 20 power in Gen 2 (later: 40)
- Fly: 70 power in Gen 2 (later: 90)
- Vine Whip: 35 power, 10 PP in Gen 2 (later: 45/25)

--- PRIORITY SUMMARY ---
+3: Protect, Detect, Endure
+1: Quick Attack, Mach Punch, Extreme Speed, Bide
 0: Most moves
-1: Vital Throw, Counter
-5: Mirror Coat
-6: Whirlwind, Roar, Teleport


================================================================================
PART 2: EVOLUTION DATA
================================================================================

Format: Base -> Evolution (Method)

--- JOHTO STARTERS ---
Chikorita -> Bayleef (Level 16) -> Meganium (Level 32)
